Wavelength	Counts
499.7482	263.85883
500.1162	243.37914
500.4841	258.59263
500.852	274.39124
501.2198	253.91155
501.5876	262.68856
501.9554	266.7845
502.3231	282.58312
502.6908	274.97638
503.0584	281.99798
503.426	231.67646
503.7935	243.37914
504.161	243.96428
504.5284	259.17776
504.8958	263.85883
505.2632	263.2737
505.6305	243.96428
505.9978	279.65745
506.365	267.95477
506.7322	259.76289
507.0993	249.81562
507.4664	283.16825
507.8334	268.5399
508.2004	262.10343
508.5674	288.43446
508.9343	252.74129
509.3012	253.91155
509.668	267.36963
510.0347	279.07231
510.4015	247.47508
510.7682	230.5062
511.1348	239.28321
511.5014	259.76289
511.8679	269.12504
512.2345	279.07231
512.6009	275.56151
512.9673	241.62374
513.3337	283.16825
513.7	243.96428
514.0663	243.96428
514.4326	270.88044
514.7987	253.91155
515.1649	286.09392
515.531	231.67646
515.8971	283.75338
516.2631	250.98588
516.629	245.13455
516.995	250.98588
517.3608	267.36963
517.7267	292.53039
518.0925	290.18986
518.4582	227.58053
518.8239	262.68856
519.1896	265.0291
519.5552	274.97638
519.9207	234.60213
520.2863	294.2858
520.6517	277.90205
521.0172	268.5399
521.3826	261.5183
521.7479	274.39124
522.1132	287.26419
522.4784	280.82771
522.8436	266.19937
523.2088	270.88044
523.5739	269.12504
523.939	248.06021
524.304	286.09392
524.669	279.07231
525.0339	226.99539
525.3988	279.65745
525.7637	266.7845
526.1285	289.60472
526.4932	264.44396
526.8579	260.34803
527.2226	267.36963
527.5872	246.88995
527.9518	248.06021
528.3163	286.09392
528.6808	273.22097
529.0453	275.56151
529.4096	272.63584
529.774	270.88044
530.1383	299.552
530.5026	248.06021
530.8668	242.20888
531.2309	250.98588
531.5951	245.13455
531.9592	242.79401
532.3232	260.34803
532.6872	273.22097
533.0511	285.50879
533.415	258.59263
533.7789	287.26419
534.1427	259.76289
534.5064	281.99798
534.8702	245.71968
535.2338	247.47508
535.5975	248.06021
535.961	272.05071
536.3246	262.68856
536.6881	265.0291
537.0515	263.2737
537.4149	263.85883
537.7783	262.68856
538.1416	272.63584
538.5049	262.10343
538.8681	221.72919
539.2312	248.06021
539.5944	258.00749
539.9575	279.65745
540.3205	285.50879
540.6835	258.00749
541.0464	284.92365
541.4093	274.39124
541.7722	270.88044
542.135	284.33852
