Wavelength	Counts
582.4812	232.70045
582.8389	266.05308
583.1965	263.71255
583.554	281.8517
583.9115	310.52326
584.269	262.54228
584.6264	275.41523
584.9838	294.13951
585.3411	272.48956
585.6983	257.27607
586.0556	245.5734
586.4127	257.86121
586.7699	246.74366
587.127	281.26657
587.484	264.88282
587.841	414.09197
588.1979	257.86121
588.5548	269.56389
588.9117	287.70304
589.2685	254.93554
589.6253	267.22335
589.982	292.96924
590.3386	271.90442
590.6953	276.00036
591.0518	279.51116
591.4084	289.45844
591.7648	270.73415
592.1213	288.28817
592.4777	298.82058
592.834	294.72465
593.1903	281.26657
593.5466	257.27607
593.9028	271.90442
594.2589	242.64773
594.615	243.81799
594.9711	267.22335
595.3271	281.8517
595.6831	263.71255
596.039	260.78688
596.3949	266.05308
596.7507	278.3409
597.1065	260.78688
597.4623	302.91652
597.8179	266.63822
598.1736	277.75576
598.5292	244.98826
598.8847	264.88282
599.2403	282.43683
599.5957	301.16112
599.9511	284.19223
600.3065	287.1179
600.6618	308.18273
601.0171	267.22335
601.3723	273.65982
601.7275	285.3625
602.0826	280.0963
602.4377	271.31929
602.7928	238.55179
603.1478	269.56389
603.5027	264.88282
603.8576	239.72206
604.2125	267.22335
604.5673	281.26657
604.922	288.87331
605.2767	278.3409
605.6314	262.54228
605.986	254.93554
606.3406	270.14902
606.6951	255.52067
607.0496	263.12741
607.4041	220.99777
607.7584	270.14902
608.1128	228.01938
608.4671	245.5734
608.8213	270.14902
609.1755	244.98826
609.5297	278.92603
609.8838	284.19223
610.2378	271.90442
610.5919	296.48005
610.9458	286.53277
611.2997	267.22335
611.6536	290.04357
612.0074	281.26657
612.3612	274.24496
612.715	237.96665
613.0686	232.11532
613.4223	296.48005
613.7759	226.26398
614.1294	234.45585
614.4829	256.10581
614.8364	275.41523
615.1898	261.37201
615.5431	281.8517
615.8964	263.71255
616.2497	249.0842
616.6029	294.72465
616.9561	238.55179
617.3092	279.51116
617.6623	288.28817
618.0153	277.17063
618.3683	260.78688
618.7212	270.73415
619.0741	290.62871
619.427	271.31929
619.7798	289.45844
620.1325	272.48956
620.4852	276.58549
620.8379	294.13951
621.1905	275.41523
621.543	267.80848
621.8956	249.66933
622.248	250.25447
622.6004	288.87331
622.9528	257.86121
623.3051	274.83009
623.6574	274.83009
624.0096	277.75576
624.3618	266.63822
624.714	277.17063
625.0661	270.73415
625.4181	284.77737
625.7701	252.595
626.122	284.19223
626.4739	243.81799
626.8258	278.3409
627.1776	250.25447
627.5294	256.10581
627.8811	237.38152
628.2327	248.49907
628.5844	261.95715
628.9359	281.8517
629.2874	259.61661
629.6389	248.49907
629.9904	248.49907
630.3417	285.94764
630.6931	271.90442
631.0444	291.21384
631.3956	281.26657
631.7468	282.43683
632.0979	268.97875
632.449	305.25706
632.8001	244.98826
633.1511	254.3504
633.5021	261.37201
633.853	280.0963
634.2038	271.90442
634.5546	256.10581
634.9054	240.89232
635.2561	277.75576
635.6068	236.79639
635.9574	256.69094
636.308	250.25447
636.6585	278.3409
637.009	256.10581
637.3595	292.96924
637.7098	267.22335
638.0602	269.56389
638.4105	236.79639
638.7607	240.30719
639.1109	296.48005
639.4611	281.26657
639.8112	259.03148
640.1612	276.00036
640.5113	249.0842
640.8612	302.91652
641.2111	272.48956
641.561	283.6071
641.9108	278.92603
642.2606	259.03148
642.6103	285.94764
642.96	264.88282
643.3096	257.27607
643.6592	247.3288
644.0088	278.92603
644.3582	299.99085
644.7077	247.3288
645.0571	276.00036
645.4064	292.96924
645.7557	298.82058
646.105	272.48956
646.4542	280.0963
646.8033	293.55438
647.1524	257.86121
647.5015	286.53277
647.8505	253.76527
648.1995	246.15853
648.5484	247.91393
648.8973	275.41523
649.2461	250.25447
649.5949	263.12741
649.9436	268.97875
650.2923	307.01246
650.6409	269.56389
650.9895	256.69094
651.338	271.90442
651.6865	287.1179
652.0349	269.56389
652.3833	260.78688
652.7317	279.51116
653.08	262.54228
653.4282	251.42473
653.7764	232.11532
654.1246	294.13951
654.4727	282.43683
654.8208	277.75576
655.1688	266.05308
655.5167	235.04098
655.8647	256.69094
