Wavelength	Counts
686.2935	305.0742
686.6371	295.12693
686.9807	252.99728
687.3243	295.71206
687.6678	304.48907
688.0112	272.3067
688.3546	249.48648
688.6979	227.83652
689.0412	290.44585
689.3845	281.66884
689.7277	273.47697
690.0708	272.89184
690.4139	269.38103
690.757	267.0405
691.1	279.91344
691.443	284.00938
691.7859	245.39054
692.1287	306.8296
692.4716	265.28509
692.8143	287.52018
693.157	271.13643
693.4997	289.86072
693.8423	279.91344
694.1849	289.27559
694.5274	293.37152
694.8699	242.46487
695.2123	289.86072
695.5547	259.43376
695.897	244.80541
696.2393	248.90134
696.5815	294.54179
696.9237	272.3067
697.2658	233.10273
697.6079	295.12693
697.95	268.21076
698.292	270.5513
698.6339	274.64724
698.9758	282.83911
699.3176	277.57291
699.6594	248.31621
700.0012	243.63514
700.3429	263.52969
700.6845	254.16755
701.0261	256.50809
701.3677	285.17965
701.7092	278.74318
702.0506	265.28509
702.392	264.11483
702.7334	269.96617
703.0747	279.32831
703.4159	274.0621
703.7571	262.35943
704.0983	247.73108
704.4394	255.33782
704.7805	244.22027
705.1215	275.81751
705.4624	236.0284
705.8034	267.0405
706.1442	260.01889
706.485	279.32831
706.8258	273.47697
707.1665	262.94456
707.5072	293.37152
707.8478	255.33782
708.1884	243.63514
708.5289	251.24188
708.8694	279.91344
709.2098	242.46487
709.5502	275.23237
709.8905	247.73108
710.2308	264.11483
710.571	279.32831
710.9112	268.7959
711.2513	300.39313
711.5914	279.91344
711.9315	237.19867
712.2714	239.5392
712.6114	270.5513
712.9513	245.97568
713.2911	252.41215
713.6309	271.72157
713.9706	264.69996
714.3103	265.28509
714.65	269.96617
714.9896	272.3067
715.3291	275.81751
715.6686	273.47697
716.0081	258.26349
716.3475	271.72157
716.6868	257.09322
717.0261	274.64724
717.3654	273.47697
717.7046	274.0621
718.0437	280.49858
718.3828	276.40264
718.7219	268.7959
719.0609	273.47697
719.3998	310.92554
719.7387	237.7838
720.0776	270.5513
720.4164	267.0405
720.7552	251.82701
721.0939	226.66626
721.4325	249.48648
721.7711	281.66884
722.1097	271.13643
722.4482	252.41215
722.7867	268.7959
723.1251	272.3067
723.4635	266.45536
723.8018	245.97568
724.14	265.87023
724.4783	255.33782
724.8164	257.67835
725.1546	257.09322
725.4926	255.33782
725.8306	278.74318
726.1686	277.57291
726.5065	260.60402
726.8444	261.77429
727.1822	279.32831
727.52	280.49858
727.8577	313.26608
728.1954	274.64724
728.533	272.3067
728.8706	281.08371
729.2081	233.10273
729.5456	262.35943
729.883	291.03099
730.2204	253.58242
730.5578	317.36201
730.895	281.66884
731.2323	265.87023
731.5695	272.89184
731.9066	271.72157
732.2437	249.48648
732.5807	274.0621
732.9177	269.38103
733.2546	261.77429
733.5915	269.96617
733.9283	282.83911
734.2651	255.92295
734.6019	268.7959
734.9386	287.52018
735.2752	264.69996
735.6118	239.5392
735.9483	268.21076
736.2848	257.09322
736.6213	323.79849
736.9576	295.71206
737.294	251.24188
737.6303	244.22027
737.9665	226.66626
738.3027	277.57291
738.6389	238.95407
738.975	282.83911
739.311	261.77429
739.647	289.86072
739.9829	285.17965
740.3188	209.69737
740.6547	269.38103
740.9905	275.81751
741.3262	269.96617
741.6619	264.69996
741.9976	271.13643
742.3332	261.18916
742.6687	282.25398
743.0042	278.15804
743.3397	261.77429
743.6751	248.31621
744.0104	263.52969
744.3457	299.22286
744.681	246.56081
745.0162	227.83652
745.3513	257.09322
745.6864	307.99987
746.0215	241.87974
746.3565	277.57291
746.6914	286.93505
747.0263	263.52969
747.3612	240.12434
747.696	279.32831
748.0307	280.49858
748.3654	261.77429
748.7001	247.73108
749.0347	248.90134
749.3692	288.69045
749.7037	273.47697
750.0382	310.92554
750.3726	271.13643
750.707	297.46746
751.0413	275.81751
751.3755	269.96617
751.7097	255.33782
752.0439	285.17965
752.378	274.64724
752.712	259.43376
753.046	255.33782
753.38	246.56081
753.7139	272.89184
754.0478	292.78639
754.3816	255.33782
754.7153	272.3067
755.049	257.09322
755.3827	272.3067
755.7163	232.51759
756.0498	294.54179
756.3833	261.77429
756.7168	278.15804
757.0502	248.31621
757.3836	260.01889
757.7169	268.7959
758.0501	254.16755
758.3833	271.13643
758.7165	264.69996
759.0496	260.01889
759.3827	233.68786
759.7157	286.34992
760.0486	254.16755
760.3815	267.0405
760.7144	246.56081
761.0472	260.60402
761.3799	268.21076
761.7126	242.46487
762.0453	251.24188
762.3779	263.52969
762.7105	285.76478
763.043	251.24188
763.3754	299.22286
763.7078	292.20126
764.0402	283.42425
764.3725	287.52018
764.7047	269.38103
765.037	257.09322
765.3691	261.77429
765.7012	258.26349
766.0333	264.69996
766.3653	270.5513
766.6972	257.09322
767.0291	264.69996
767.361	267.62563
767.6928	288.10532
768.0245	259.43376
768.3562	271.13643
768.6879	305.0742
769.0195	254.75268
769.3511	276.98777
769.6826	265.87023
770.014	272.89184
770.3454	266.45536
770.6768	281.08371
771.0081	257.09322
771.3393	255.92295
771.6705	261.77429
772.0017	264.69996
772.3328	273.47697
772.6638	259.43376
772.9948	296.88233
773.3258	260.01889
773.6567	277.57291
773.9875	277.57291
774.3183	333.16063
774.6491	278.15804
774.9797	271.13643
775.3104	243.63514
775.641	250.65675
775.9715	262.94456
776.302	273.47697
776.6325	303.90393
776.9629	251.82701
777.2932	263.52969
777.6235	286.93505
777.9538	259.43376
778.2839	279.91344
778.6141	252.41215
778.9442	281.08371
779.2742	276.98777
779.6042	275.23237
779.9342	271.72157
780.264	278.74318
780.5939	286.93505
780.9237	258.84862
781.2534	293.37152
781.5831	272.89184
781.9127	275.81751
782.2423	291.03099
782.5719	248.90134
782.9014	236.0284
783.2308	269.96617
783.5602	287.52018
783.8895	252.41215
784.2188	255.33782
784.548	284.59451
784.8772	289.86072
785.2063	291.03099
785.5354	255.92295
785.8645	254.75268
786.1934	307.41474
786.5224	257.09322
786.8512	279.32831
787.1801	268.21076
787.5088	290.44585
787.8376	295.71206
788.1663	291.61612
788.4949	255.92295
788.8235	270.5513
789.152	270.5513
789.4805	245.97568
789.8089	277.57291
790.1372	250.07161
790.4656	252.41215
790.7938	286.93505
791.1221	268.21076
791.4502	283.42425
791.7783	269.96617
792.1064	293.95666
792.4344	271.13643
