Theoretical Spectrum of Semrock FF01-430/LP Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
388.6	1e-07
388.8	1e-07
389	1e-07
389.2	1e-07
389.4	1e-07
389.6	1e-07
389.8	1e-07
390	1e-07
390.2	1e-07
390.4	1e-07
390.6	1e-07
390.8	1e-07
391	1e-07
391.2	1e-07
391.4	1e-07
391.6	1e-07
391.8	1e-07
392	1e-07
392.2	1e-07
392.4	1e-07
392.6	1e-07
392.8	1e-07
393	1e-07
393.2	1e-07
393.4	1e-07
393.6	1e-07
393.8	1e-07
394	1e-07
394.2	1e-07
394.4	1e-07
394.6	1e-07
394.8	1e-07
395	1e-07
395.2	1e-07
395.4	1e-07
395.6	1e-07
395.8	1e-07
396	1e-07
396.2	1e-07
396.4	1e-07
396.6	1e-07
396.8	1e-07
397	1e-07
397.2	1e-07
397.4	1e-07
397.6	1e-07
397.8	1e-07
398	1e-07
398.2	1e-07
398.4	1e-07
398.6	1e-07
398.8	1e-07
399	1e-07
399.2	1e-07
399.4	1e-07
399.6	1e-07
399.8	1e-07
400	1e-07
400.2	1e-07
400.4	1e-07
400.6	1e-07
400.8	1e-07
401	1e-07
401.2	1e-07
401.4	1e-07
401.6	1e-07
401.8	1e-07
402	1e-07
402.2	1e-07
402.4	1e-07
402.6	1e-07
402.8	1e-07
403	1e-07
403.2	1e-07
403.4	1e-07
403.6	1e-07
403.8	1e-07
404	1e-07
404.2	1e-07
404.4	1e-07
404.6	1e-07
404.8	1e-07
405	1e-07
405.2	1e-07
405.4	1e-07
405.6	1e-07
405.8	1e-07
406	1e-07
406.2	1e-07
406.4	1e-07
406.6	1e-07
406.8	1e-07
407	1e-07
407.2	1e-07
407.4	1e-07
407.6	1e-07
407.8	1e-07
408	1e-07
408.2	1e-07
408.4	1e-07
408.6	1e-07
408.8	1e-07
409	1e-07
409.2	1e-07
409.4	1e-07
409.6	1e-07
409.8	1e-07
410	1e-07
410.2	1e-07
410.4	1e-07
410.6	1e-07
410.8	1e-07
411	1e-07
411.2	1e-07
411.4	1e-07
411.6	1e-07
411.8	1e-07
412	1e-07
412.2	1e-07
412.4	1e-07
412.6	1e-07
412.8	1e-07
413	1e-07
413.2	1e-07
413.4	1e-07
413.6	1e-07
413.8	1e-07
414	1e-07
414.2	1e-07
414.4	1e-07
414.6	1e-07
414.8	1e-07
415	1e-07
415.2	1e-07
415.4	1e-07
415.6	1e-07
415.8	1e-07
416	1e-07
416.2	1e-07
416.4	1e-07
416.6	1e-07
416.8	1e-07
417	1e-07
417.2	1e-07
417.4	1e-07
417.6	1e-07
417.8	1e-07
418	1e-07
418.2	1e-07
418.4	1e-07
418.6	1e-07
418.8	1e-07
419	1e-07
419.2	1e-07
419.4	1e-07
419.6	1e-07
419.8	1e-07
420	1e-07
420.2	1e-07
420.4	1e-07
420.6	1e-07
420.8	1e-07
421	1e-07
421.2	1e-07
421.4	1e-07
421.6	1e-07
421.8	1e-07
422	1e-07
422.2	1e-07
422.4	1e-07
422.6	1e-07
422.8	1e-07
423	1e-07
423.2	1e-07
423.4	1e-07
423.6	1e-07
423.8	1e-07
424	1e-07
424.2	1e-07
424.4	1e-07
424.6	1e-07
424.8	1e-07
425	1e-07
425.2	1e-07
425.4	1e-07
425.6	1e-07
425.8	1e-07
426	1e-07
426.2	1e-07
426.4	1e-07
426.6	1e-07
426.8	1e-07
427	1e-07
427.2	1e-07
427.4	1e-07
427.6	1e-07
427.8	1e-07
428	1e-07
428.2	1e-07
428.4	1e-07
428.6	1e-07
428.8	1e-07
429	1e-07
429.2	1e-07
429.4	1e-07
429.6	1e-07
429.8	1e-07
430	1e-07
430.2	1e-07
430.4	1e-07
430.6	1e-07
430.8	1e-07
431	1.25161322162381e-07
431.2	1.73522628408227e-07
431.4	2.41893410957704e-07
431.6	3.39144020631967e-07
431.8	4.78361037357455e-07
432	6.78997791656458e-07
432.2	9.70202694466843e-07
432.4	1.39601772076002e-06
432.6	2.02358184381002e-06
432.8	2.9562110089013e-06
433	4.35448730552936e-06
433.2	6.47066887531334e-06
433.4	9.70555262432737e-06
433.6	1.47037290272398e-05
433.8	2.25155035299498e-05
434	3.48765227926376e-05
434.2	5.46990105325775e-05
434.4	8.695100975617e-05
434.6	0.00014026207667492
434.8	0.000229921452773763
435	0.000383614196456416
435.2	0.000652693488546881
435.4	0.00113499571490829
435.6	0.00202253868559197
435.8	0.00370480776291782
436	0.00700081173945734
436.2	0.0136992069868343
436.4	0.0278467408729742
436.6	0.0587817564466176
436.8	0.127327302594769
437	0.271091002579036
437.2	0.513591601897709
437.4	0.769236288660756
437.6	0.908799432075849
437.8	0.945727448739819
438	0.9476151494309
438.2	0.946345349065975
438.4	0.948078068783242
438.6	0.951098153551876
438.8	0.953198372253443
439	0.953588914831087
439.2	0.952711122609156
439.4	0.951495642995146
439.6	0.950752589290115
439.8	0.950886117249182
440	0.951875943193263
440.2	0.953404189514026
440.4	0.955027816928035
440.6	0.956334406215892
440.8	0.957048553406619
441	0.957077638244339
441.2	0.956502302123026
441.4	0.955528349514358
441.6	0.954421313627794
441.8	0.953442735819153
442	0.952800842303672
442.2	0.952621117297258
442.4	0.952936656551402
442.6	0.953694929645792
442.8	0.954776279268511
443	0.956019329157836
443.2	0.957248825592212
443.4	0.958301983713633
443.6	0.959050114666728
443.8	0.959413236228091
444	0.959366523260843
444.2	0.958938712222072
444.4	0.958203717118653
444.6	0.957267527781979
444.8	0.956252797088983
445	0.955283402829952
445.2	0.954470813997545
445.4	0.953903472884443
445.6	0.953639788338296
445.8	0.953704828844716
446	0.954090447359022
446.2	0.954758351608392
446.4	0.95564551616096
446.6	0.956671273436402
446.8	0.957745391938273
447	0.958776442236639
447.2	0.959679765322926
447.4	0.960384409553725
447.6	0.960838503438728
447.8	0.961012684998049
448	0.960901403870941
448.2	0.960522126953524
448.4	0.959912682358207
448.6	0.95912713301404
448.8	0.958230674626304
449	0.957294087198905
449.2	0.95638823553147
449.4	0.955579034752115
449.6	0.954923191520751
449.8	0.954464920161426
450	0.954233731112802
450.2	0.954243305828884
450.4	0.954491411711084
450.6	0.954960762022176
450.8	0.95562069576261
451	0.956429537610492
451.2	0.957337479933672
451.4	0.958289814803297
451.6	0.959230332316698
451.8	0.960104694165466
452	0.960863591385687
452.2	0.961465505325304
452.4	0.961878915508578
452.6	0.962083837245765
452.8	0.962072608020277
453	0.961849904536893
453.2	0.961432027128032
453.4	0.960845537930895
453.6	0.960125379331609
453.8	0.959312625221878
454	0.958452028201645
454.2	0.95758952144141
454.4	0.956769818093
454.6	0.956034230480117
454.8	0.955418796292009
455	0.954952773233819
455.2	0.954657537574286
455.4	0.954545899153376
455.6	0.954621827396222
455.8	0.954880569198372
456	0.955309129334982
456.2	0.955887076132979
456.4	0.956587628596529
456.6	0.957378976176908
456.8	0.958225775273293
457	0.959090761459265
457.2	0.959936411645708
457.4	0.960726586901152
457.6	0.96142808561508
457.8	0.962012038908358
458	0.962455086278237
458.2	0.96274027954703
458.4	0.962857677182103
458.6	0.962804608094929
458.8	0.96258560116139
459	0.962211996041666
459.2	0.961701267599623
459.4	0.961076110039027
459.6	0.960363336822418
459.8	0.959592657924603
460	0.958795397000059
460.2	0.958003207981224
460.4	0.957246844436058
460.6	0.956555027582153
460.8	0.955953448073679
461	0.955463927966571
461.2	0.955103760126168
461.4	0.954885234216542
461.6	0.954815351674751
461.8	0.954895726637883
462	0.955122665505373
462.2	0.955487414644287
462.4	0.95597656375423
462.6	0.956572586532242
462.8	0.957254499929883
463	0.957998622222126
463.2	0.958779406923371
463.4	0.95957032696762
463.6	0.960344781244956
463.8	0.961076994191353
464	0.961742878271575
464.2	0.962320828909345
464.4	0.962792424092244
464.6	0.963143008557756
464.8	0.963362134586099
465	0.963443845726771
465.2	0.963386796100201
465.4	0.963194204371122
465.6	0.962873648739967
465.8	0.962436716048433
466	0.961898523893769
466.2	0.961277138592968
466.4	0.960592914485259
466.6	0.959867787250204
466.8	0.959124545255309
467	0.958386104626592
467.2	0.95767481187254
467.4	0.957011794160117
467.6	0.956416374057165
467.8	0.955905561256939
468	0.95549363033964
468.2	0.955191790457983
468.4	0.955007949711372
468.6	0.954946574562431
468.8	0.955008643414263
469	0.955191691042037
469.2	0.95548993937736
469.4	0.955894509060293
469.6	0.956393705123137
469.8	0.956973369137039
470	0.957617289088476
470.2	0.958307657301695
470.4	0.959025565575881
470.6	0.959751524243986
470.8	0.960465993373777
471	0.961149912012478
471.2	0.961785210976492
471.4	0.962355294824696
471.6	0.962845479135778
471.8	0.963243370253905
472	0.963539176343496
472.2	0.963725940662973
472.4	0.963799690661566
472.6	0.96375949961378
472.8	0.963607460198057
473	0.963348572917769
473.2	0.962990555175405
473.4	0.962543579392998
473.6	0.962019950709856
473.8	0.961433736357815
474	0.960800359767482
474.2	0.960136172557289
474.4	0.959458017293109
474.6	0.958782795489175
474.8	0.958127050306198
475	0.957506573858429
475.2	0.956936047623522
475.4	0.956428722604502
475.6	0.95599614429642
475.8	0.955647926014261
476	0.955391572793095
476.2	0.955232356991226
476.4	0.955173245282026
476.6	0.955214875596845
476.8	0.955355584367782
477	0.955591481393497
477.2	0.95591656950355
477.4	0.9563229059009
477.6	0.956800801575124
477.8	0.957339054680149
478	0.957925213252305
478.2	0.958545862470291
478.4	0.959186931210156
478.6	0.959834008545253
478.8	0.96047266619285
479	0.961088779918177
479.2	0.961668842401638
479.4	0.962200260350249
479.6	0.96267162880711
479.8	0.963072976019005
480	0.963395972868993
480.2	0.963634101577535
480.4	0.963782779918018
480.6	0.963839439586845
480.8	0.963803554785433
481	0.963676621732761
481.2	0.963462090900256
481.4	0.963165254817506
481.6	0.962793095544435
481.8	0.962354096931411
482	0.961858027586811
482.2	0.961315700683017
482.4	0.960738716880579
482.6	0.960139200078201
482.8	0.95952953023701
483	0.958922079452098
483.2	0.958328957192455
483.4	0.957761769697165
483.6	0.95723139779603
483.8	0.956747796676546
484	0.956319820379298
484.2	0.955955073217184
484.4	0.955659789463198
484.6	0.955438741213927
484.8	0.955295176180442
485	0.955230784991887
485.2	0.955245697350232
485.4	0.955338506200806
485.6	0.955506318789866
485.8	0.955744833206734
486	0.956048438746923
486.2	0.956410338244513
486.4	0.956822690322403
486.6	0.957276768673156
486.8	0.957763135962567
487	0.95827182946591
487.2	0.95879255521293
487.4	0.95931488722303
487.6	0.959828468221714
487.8	0.960323208091696
488	0.960789476244385
488.2	0.961218284006296
488.4	0.961601453323004
488.6	0.961931769189317
488.8	0.962203111567315
489	0.962410564225178
489.2	0.962550498403315
489.4	0.962620629684439
489.6	0.962620047097353
489.8	0.96254921417098
490	0.962409942349885
490.2	0.962205337607044
490.4	0.96193972163161
490.6	0.961618531921741
490.8	0.961248201740904
491	0.960836023177583
491.2	0.960389996910827
491.4	0.959918672205129
491.6	0.959430980695938
491.8	0.958936067464212
492	0.958443122746117
492.2	0.957961217277675
492.4	0.957499144026461
492.6	0.957065269835143
492.8	0.956667398098537
493	0.956312644396503
493.2	0.956007326671579
493.4	0.955756871085594
493.6	0.955565734381306
493.8	0.955437343294687
494	0.955374051311508
494.2	0.955377112853911
494.4	0.955446674576395
494.6	0.955581783414622
494.8	0.955780411538483
495	0.956039497335956
495.2	0.95635500160169
495.4	0.956721978022408
495.6	0.957134656976045
495.8	0.957586541419154
496	0.958070513525481
496.2	0.958578950594311
496.4	0.95910384858851
496.6	0.959636951508666
496.8	0.960169884676467
497	0.960694289881031
497.2	0.961201960244725
497.4	0.961684972601616
497.6	0.96213581515866
497.8	0.962547508232403
498	0.962913715927548
498.2	0.963228846846706
498.4	0.963488141937076
498.6	0.963687747117127
498.8	0.963824770526939
499	0.963897323166455
499.2	0.963904542149684
499.4	0.963846596302933
499.6	0.963724674210314
499.8	0.963540955180106
500	0.96329856395843
500.2	0.963001510598955
500.4	0.962654617235067
500.6	0.962263431323947
500.8	0.961834129163552
501	0.961373411493367
501.2	0.960888392997357
501.4	0.960386487789453
501.6	0.959875292928774
501.8	0.959362471934379
502	0.958855640152423
502.2	0.958362253939072
502.4	0.957889505375692
502.6	0.957444221751302
502.8	0.95703277320652
503	0.95666098926302
503.2	0.956334084769401
503.4	0.956056595883386
503.6	0.955832326545752
503.8	0.955664305752409
504	0.955554755796209
504.2	0.955505071456925
504.4	0.955515810348553
504.6	0.955586694778835
504.8	0.955716623501439
505	0.955903693521927
505.2	0.956145231734199
505.4	0.956437835944947
505.6	0.956777424750452
505.8	0.957159295670276
506	0.957578190883628
506.2	0.958028369687483
506.4	0.958503686654779
506.6	0.958997675676313
506.8	0.95950363802407
507	0.960014733353234
507.2	0.960524072596098
507.4	0.96102481153081
507.6	0.961510243759236
507.8	0.961973891795756
508	0.962409594957785
508.2	0.962811592732567
508.4	0.963174602358421
508.6	0.963493889667263
508.8	0.963765331798378
509	0.9639854708544
509.2	0.964151557702605
