Theoretical Spectrum of Semrock FF01-460/14 Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
419.2	1e-07
419.4	1e-07
419.6	1e-07
419.8	1e-07
420	1e-07
420.2	1e-07
420.4	1e-07
420.6	1e-07
420.8	1e-07
421	1e-07
421.2	1e-07
421.4	1e-07
421.6	1e-07
421.8	1e-07
422	1e-07
422.2	1e-07
422.4	1e-07
422.6	1e-07
422.8	1e-07
423	1e-07
423.2	1e-07
423.4	1e-07
423.6	1e-07
423.8	1e-07
424	1e-07
424.2	1e-07
424.4	1e-07
424.6	1e-07
424.8	1e-07
425	1e-07
425.2	1e-07
425.4	1e-07
425.6	1e-07
425.8	1e-07
426	1e-07
426.2	1e-07
426.4	1e-07
426.6	1e-07
426.8	1e-07
427	1e-07
427.2	1e-07
427.4	1e-07
427.6	1e-07
427.8	1e-07
428	1e-07
428.2	1e-07
428.4	1e-07
428.6	1e-07
428.8	1e-07
429	1e-07
429.2	1e-07
429.4	1.04622255483406e-07
429.6	1.21915605788674e-07
429.8	1.32561672965396e-07
430	1.32121049241278e-07
430.2	1.21743686123779e-07
430.4	1.06713654692789e-07
430.6	1e-07
430.8	1e-07
431	1e-07
431.2	1e-07
431.4	1e-07
431.6	1e-07
431.8	1e-07
432	1e-07
432.2	1e-07
432.4	1e-07
432.6	1e-07
432.8	1e-07
433	1e-07
433.2	1e-07
433.4	1.00413704343339e-07
433.6	1.21803927043984e-07
433.8	1.51801211790532e-07
434	1.9461056307107e-07
434.2	2.56964812139018e-07
434.4	3.49766271190395e-07
434.6	4.90598602513769e-07
434.8	7.06679618576642e-07
435	1.03472760538051e-06
435.2	1.50508142419829e-06
435.4	2.08821469587478e-06
435.6	2.63017987266491e-06
435.8	2.93012868521429e-06
436	2.95075758512232e-06
436.2	2.82124738327336e-06
436.4	2.67247349938992e-06
436.6	2.57138345888405e-06
436.8	2.54201249431178e-06
437	2.59264199470847e-06
437.2	2.73009729284266e-06
437.4	2.96610193375876e-06
437.6	3.3208423216655e-06
437.8	3.8263756739621e-06
438	4.5312013551745e-06
438.2	5.50685793028403e-06
438.4	6.85721100987726e-06
438.6	8.73064409164641e-06
438.8	1.13339654270824e-05
439	1.49434126739553e-05
439.2	1.99016895354351e-05
439.4	2.65821760053333e-05
439.6	3.53024795697736e-05
439.8	4.62004038720581e-05
440	5.91529146271205e-05
440.2	7.38588657053936e-05
440.4	9.01131961719971e-05
440.6	0.000108124341381601
440.8	0.000128696497674789
441	0.000153258786516473
441.2	0.000183851830464828
441.4	0.000223156972848286
441.6	0.000274549999613701
441.8	0.000342050909775439
442	0.000429927542048946
442.2	0.000541637712928157
442.4	0.00067798329004839
442.6	0.000835150276508815
442.8	0.00100450816307023
443	0.00117593990387681
443.2	0.00134357044624171
443.4	0.00150988752347554
443.6	0.00168586361912856
443.8	0.00188876744187343
444	0.00214067151971286
444.2	0.00246916626804859
444.4	0.00291042108919364
444.6	0.00351455887770162
444.8	0.00435377600136961
445	0.00553410671795664
445.2	0.00721172294081477
445.4	0.0096133135681244
445.6	0.013055547801888
445.8	0.0179482851843561
446	0.0247509505649831
446.2	0.0338489285618613
446.4	0.0453713687412415
446.6	0.0590982549994234
446.8	0.0746534004163088
447	0.0919508261385482
447.2	0.111579106725792
447.4	0.134910317929667
447.6	0.164029697711775
447.8	0.201643630131599
448	0.250939952060143
448.2	0.315155193098631
448.4	0.396458883204037
448.6	0.493918867650457
448.8	0.601241341552829
449	0.706572160872866
449.2	0.796548834492843
449.4	0.862678719040412
449.6	0.904516311896294
449.8	0.927451126101424
450	0.938416597164204
450.2	0.943041162702731
450.4	0.944871893825557
450.6	0.945738597846503
450.8	0.946395892610541
451	0.947049797912937
451.2	0.947681351585213
451.4	0.948204605443457
451.6	0.948526975491658
451.8	0.948570513219944
452	0.948288577305172
452.2	0.947687512233329
452.4	0.946845832406407
452.6	0.94591772350319
452.8	0.945112234983649
453	0.94464954625415
453.2	0.944705273426546
453.4	0.945358822333728
453.6	0.946561230598125
453.8	0.948133035373749
454	0.949795296788395
454.2	0.951228452581519
454.4	0.952145605652401
454.6	0.952361321909375
454.8	0.951836673574585
455	0.950687457285876
455.2	0.94915365796475
455.4	0.947539946421728
455.6	0.946144591358596
455.8	0.945195388159062
456	0.944807041850649
456.2	0.94496761823548
456.4	0.945554612366416
456.6	0.946375051194388
456.8	0.947219228509344
457	0.947914685813687
457.2	0.948366863133107
457.4	0.948576215755593
457.6	0.948628102780736
457.8	0.948659454965842
458	0.94881248299966
458.2	0.949188560422902
458.4	0.94981452941715
458.6	0.950629947889042
458.8	0.951498526680036
459	0.9522412520676
459.2	0.952683289032672
459.4	0.952702746800837
459.6	0.952268075391996
459.8	0.95145325470674
460	0.950425814273272
460.2	0.949410276600535
460.4	0.948636208905254
460.6	0.948283630847114
460.8	0.948438537921266
461	0.949068597545258
461.2	0.950024883160036
461.4	0.95107058271544
461.6	0.951932182225871
461.8	0.952363071654603
462	0.952205092998657
462.2	0.951432239182831
462.4	0.950164087408957
462.6	0.948644311721537
462.8	0.947189125283904
463	0.946118180342496
463.2	0.945683868918993
463.4	0.946014013485316
463.6	0.947079264856387
463.8	0.948691908890218
464	0.950537884074324
464.2	0.952238209286979
464.4	0.953429409042813
464.6	0.953846038801477
464.8	0.953384851073113
465	0.95213264823332
465.2	0.950349083186558
465.4	0.948408581257823
465.6	0.946716861223826
465.8	0.945622994587432
466	0.94534682624987
466.2	0.945936209111406
466.4	0.94726178879965
466.6	0.949050383411258
466.8	0.950951064137495
467	0.952620444893816
467.2	0.953806730655957
467.4	0.954409144667647
467.6	0.954493855623929
467.8	0.954259783404364
468	0.953963578427683
468.2	0.953826365860354
468.4	0.953950981334326
468.6	0.95427659632178
468.8	0.954589267246932
469	0.954593090327403
469.2	0.954027799647155
469.4	0.952797804245146
469.6	0.951062970313193
469.8	0.949243242019259
470	0.947911290265335
470.2	0.947581496321215
470.4	0.948435853093086
470.6	0.950052563584147
470.8	0.951228851537489
471	0.950017479211929
471.2	0.944089537535044
471.4	0.931413939540667
471.6	0.910971195896512
471.8	0.882950668008769
472	0.847917982601705
472.2	0.804898056604148
472.4	0.749114234608779
472.6	0.671615864311508
472.8	0.564996677327256
473	0.435471378301105
473.2	0.306323066240107
473.4	0.200928598862337
473.6	0.127024451588033
473.8	0.0796414578719377
474	0.0504449157765063
474.2	0.0325987382378673
474.4	0.0215871070509723
474.6	0.0146686305284102
474.8	0.0102259957048553
475	0.00730703276238407
475.2	0.00534508932015538
475.4	0.00399720673040963
475.6	0.00305173394571872
475.8	0.002375380240853
476	0.00188249631260752
476.2	0.00151696001461223
476.4	0.00124130171761663
476.6	0.00103005496036938
476.8	0.000865617478450975
477	0.00073563026422528
477.2	0.000631291191482111
477.4	0.000546253928284551
477.6	0.000475898984651907
477.8	0.000416844049211737
478	0.000366608931734201
478.2	0.000323380064135877
478.4	0.000285838634106776
478.6	0.000253029636779483
478.8	0.000224258490085982
479	0.00019900862373269
479.2	0.000176877379005998
479.4	0.000157528989811443
479.6	0.000140663064043867
479.8	0.000125995911581836
480	0.000113251256057231
480.2	0.00010215684596394
480.4	9.24442595952637e-05
480.6	8.3850500244479e-05
480.8	7.6121484128521e-05
481	6.90187698715042e-05
481.2	6.23313650626174e-05
481.4	5.58933095082135e-05
481.6	4.96042564023397e-05
481.8	4.34452298278696e-05
482	3.74787127139651e-05
482.2	3.18261470496338e-05
482.4	2.66274031012295e-05
482.6	2.19980624707942e-05
482.8	1.80014955731287e-05
483	1.4642872757884e-05
483.2	1.1880451747572e-05
483.4	9.64410824741482e-06
483.6	7.85273413524331e-06
483.8	6.4265538957059e-06
484	5.29399091226566e-06
484.2	4.39439635476314e-06
484.4	3.67823739078339e-06
484.6	3.10600461643455e-06
484.8	2.64664540425896e-06
485	2.27596306887184e-06
485.2	1.97518416406847e-06
485.4	1.72976157387474e-06
485.6	1.52841370172687e-06
485.8	1.3623716031563e-06
486	1.22479764003848e-06
486.2	1.1103403992177e-06
486.4	1.01479550431888e-06
486.6	9.34847607553774e-07
486.8	8.678741300849e-07
487	8.11795785334646e-07
487.2	7.64962457404212e-07
487.4	7.26065733953314e-07
487.6	6.94071428705267e-07
487.8	6.68166888566602e-07
488	6.47718849093084e-07
488.2	6.32238116153072e-07
488.4	6.21347410244215e-07
488.6	6.14748300788335e-07
488.8	6.12182008979457e-07
489	6.13377142381284e-07
489.2	6.17975165327921e-07
489.4	6.25422561179492e-07
489.6	6.3481998675022e-07
489.8	6.4472962915381e-07
490	6.52973733037678e-07
490.2	6.56521766553368e-07
490.4	6.5165200267287e-07
490.6	6.34610910179122e-07
490.8	6.02822443902184e-07
491	5.56229544015753e-07
491.2	4.97896961018205e-07
491.4	4.33233495395614e-07
491.6	3.68189125637887e-07
491.8	3.07543682225485e-07
492	2.54117564366703e-07
492.2	2.08905273405867e-07
492.4	1.71655263278054e-07
492.6	1.41467972113136e-07
492.8	1.17223211122841e-07
493	1e-07
493.2	1e-07
493.4	1e-07
493.6	1e-07
493.8	1e-07
494	1e-07
494.2	1e-07
494.4	1e-07
494.6	1e-07
494.8	1e-07
495	1e-07
495.2	1e-07
495.4	1e-07
495.6	1e-07
495.8	1e-07
496	1e-07
496.2	1e-07
496.4	1e-07
496.6	1e-07
496.8	1e-07
497	1e-07
497.2	1e-07
497.4	1e-07
497.6	1e-07
497.8	1e-07
498	1e-07
498.2	1e-07
498.4	1e-07
498.6	1e-07
498.8	1e-07
499	1e-07
499.2	1e-07
499.4	1e-07
499.6	1e-07
499.8	1e-07
500	1e-07
500.2	1e-07
500.4	1e-07
500.6	1e-07
500.8	1e-07
501	1e-07
501.2	1e-07
501.4	1e-07
501.6	1e-07
501.8	1e-07
502	1e-07
502.2	1e-07
502.4	1e-07
502.6	1e-07
502.8	1e-07
503	1e-07
503.2	1e-07
503.4	1e-07
503.6	1e-07
503.8	1e-07
504	1e-07
504.2	1e-07
504.4	1e-07
504.6	1e-07
504.8	1e-07
505	1e-07
505.2	1e-07
505.4	1e-07
505.6	1e-07
505.8	1e-07
506	1e-07
506.2	1e-07
506.4	1e-07
506.6	1e-07
506.8	1e-07
507	1e-07
507.2	1e-07
507.4	1e-07
507.6	1e-07
507.8	1e-07
508	1e-07
508.2	1e-07
508.4	1e-07
508.6	1e-07
508.8	1e-07
509	1e-07
509.2	1e-07
509.4	1e-07
509.6	1e-07
509.8	1e-07
510	1e-07
510.2	1e-07
510.4	1e-07
510.6	1e-07
510.8	1e-07
511	1e-07
511.2	1e-07
511.4	1e-07
511.6	1e-07
511.8	1e-07
512	1e-07
512.2	1e-07
512.4	1e-07
512.6	1e-07
512.8	1e-07
513	1e-07
513.2	1e-07
513.4	1e-07
513.6	1e-07
513.8	1e-07
514	1e-07
514.2	1e-07
514.4	1e-07
514.6	1e-07
514.8	1e-07
515	1e-07
515.2	1e-07
515.4	1e-07
515.6	1e-07
515.8	1e-07
516	1e-07
516.2	1e-07
516.4	1e-07
516.6	1e-07
516.8	1e-07
517	1e-07
517.2	1e-07
517.4	1e-07
517.6	1e-07
517.8	1e-07
518	1e-07
518.2	1e-07
518.4	1e-07
518.6	1e-07
518.8	1e-07
519	1e-07
519.2	1e-07
519.4	1e-07
519.6	1e-07
519.8	1e-07
520	1e-07
520.2	1e-07
520.4	1e-07
520.6	1e-07
520.8	1e-07
521	1e-07
521.2	1e-07
521.4	1e-07
521.6	1e-07
521.8	1e-07
522	1e-07
522.2	1e-07
522.4	1e-07
522.6	1e-07
522.8	1e-07
523	1e-07
523.2	1e-07
523.4	1e-07
523.6	1e-07
523.8	1e-07
524	1e-07
524.2	1e-07
524.4	1e-07
524.6	1e-07
524.8	1e-07
525	1e-07
525.2	1e-07
525.4	1e-07
525.6	1e-07
525.8	1e-07
526	1e-07
526.2	1e-07
526.4	1e-07
526.6	1e-07
526.8	1e-07
527	1e-07
527.2	1e-07
527.4	1e-07
527.6	1e-07
527.8	1e-07
528	1e-07
528.2	1e-07
528.4	1e-07
528.6	1e-07
528.8	1e-07
529	1e-07
529.2	1e-07
529.4	1e-07
529.6	1e-07
529.8	1e-07
530	1e-07
530.2	1e-07
530.4	1e-07
530.6	1e-07
530.8	1e-07
531	1e-07
531.2	1e-07
531.4	1e-07
531.6	1e-07
531.8	1e-07
532	1e-07
532.2	1e-07
532.4	1e-07
532.6	1e-07
532.8	1e-07
533	1e-07
533.2	1e-07
533.4	1e-07
533.6	1e-07
533.8	1e-07
