Theoretical Spectrum of Semrock FF01-468/SP Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
313.8	0.000227538391555431
314	0.000258054132820827
314.2	0.000307960109785972
314.4	0.000377742079916369
314.6	0.000455690204905718
314.8	0.000513782380296631
315	0.000530536150217931
315.2	0.000515879686295276
315.4	0.00049443704187495
315.6	0.0004824975848639
315.8	0.00048652009680526
316	0.000509008464360715
316.2	0.000551834029765458
316.4	0.000616093603449247
316.6	0.000699107344943319
316.8	0.000790318446446992
317	0.00087181042002676
317.2	0.000928761812992878
317.4	0.000960995775279601
317.6	0.000980859537415491
317.8	0.00100233828026222
318	0.00103492084618666
318.2	0.00108387861944435
318.4	0.00115182300762295
318.6	0.00123814738307453
318.8	0.00133634689609958
319	0.00143245561348659
319.2	0.00150947047600923
319.4	0.00155756530039856
319.6	0.00158037833036675
319.8	0.00159032765259194
320	0.00159979721177253
320.2	0.00161755081879816
320.4	0.0016508591862721
320.6	0.00170851032991054
320.8	0.00180106270347075
321	0.00193787101525215
321.2	0.00212198762435456
321.4	0.00234451945876908
321.6	0.00258204340092136
321.8	0.00280212304506387
322	0.00297592035509151
322.2	0.00308787627836787
322.4	0.00313696342529534
322.6	0.0031356007016582
322.8	0.00310965521301019
323	0.00309452874012562
323.2	0.00312619387379759
323.4	0.00323314187496658
323.6	0.00343263729842486
323.8	0.00372931921983207
324	0.00411442841868638
324.2	0.00456697121925088
324.4	0.0050571408771936
324.6	0.00554724202850014
324.8	0.00598766383587326
325	0.0063205921710352
325.2	0.00650801056682119
325.4	0.00656768447027163
325.6	0.0065734091919482
325.8	0.00661449066188764
326	0.00675578858905819
326.2	0.00702376981370403
326.4	0.00741371710136345
326.6	0.00790956230515084
326.8	0.0085093194802325
327	0.00924099260615878
327.2	0.0101525672792057
327.4	0.011274551363264
327.6	0.0125707288357719
327.8	0.0139125458154413
328	0.0151269533997248
328.2	0.016109478585266
328.4	0.0168850650137246
328.6	0.0175402063847495
328.8	0.018116675808219
329	0.0185895970980309
329.2	0.0189483738051336
329.4	0.0192921890135764
329.6	0.0198371078833193
329.8	0.0208374719409172
330	0.0224961858449241
330.2	0.0248889742636347
330.4	0.0278914367700862
330.6	0.0311706861780701
330.8	0.0343638178700931
331	0.0373660330220847
331.2	0.0403915017429911
331.4	0.0436954841843369
331.6	0.0472397832807084
331.8	0.0506211381622541
332	0.0534176848865148
332.2	0.0557011806606447
332.4	0.0581144502253515
332.6	0.0613919609823355
332.8	0.0657709199224948
333	0.0706172833296764
333.2	0.0746013771933974
333.4	0.0767856082299908
333.6	0.0777632028815982
333.8	0.0793676441345133
334	0.0835182140474221
334.2	0.0915281887321195
334.4	0.103721350366884
334.6	0.11878378234299
334.8	0.133611658467693
335	0.145414144440191
335.2	0.154608664259159
335.4	0.164252219583956
335.6	0.176748193073432
335.8	0.19125386306974
336	0.203291890784278
336.2	0.208400396225155
336.4	0.207718667898371
336.6	0.207743023198865
336.8	0.215295018644672
337	0.23465147250264
337.2	0.266023169289172
337.4	0.301815185886009
337.6	0.325845994190358
337.8	0.327985198173613
338	0.317987689741398
338.2	0.313476416859605
338.4	0.326251100399899
338.6	0.361568268047027
338.8	0.417581529619313
339	0.478550530848458
339.2	0.516364451657449
339.4	0.519215667641544
339.6	0.507117758071665
339.8	0.505921086108276
340	0.528297829468552
340.2	0.572597753410659
340.4	0.62198499365416
340.6	0.650136397373255
340.8	0.646193325372217
341	0.628574646245485
341.2	0.624098629893952
341.4	0.648765979018384
341.6	0.703651719796655
341.8	0.769202282989431
342	0.803322396647197
342.2	0.77584866839272
342.4	0.708371312632392
342.6	0.645086684612171
342.8	0.611946555608243
343	0.616189598379773
343.2	0.656496053251447
343.4	0.724307676130162
343.6	0.799053003113762
343.8	0.851539909836486
344	0.8656056593413
344.2	0.852668467545238
344.4	0.835944497494397
344.6	0.830108756961303
344.8	0.836363653183956
345	0.846427978493139
345.2	0.849761101507475
345.4	0.841836371769187
345.6	0.827580419355973
345.8	0.816896779310587
346	0.817909153363676
346.2	0.833408950480688
346.4	0.860356292501862
346.6	0.891106772261605
346.8	0.916636494575597
347	0.931254376332819
347.2	0.935431575320551
347.4	0.934092305543097
347.6	0.932402164154131
347.8	0.932844309427568
348	0.934942705699929
348.2	0.93679576918995
