Wavelength	od	Transmission	
669	-1.424635049	2.658E+01	
670	-1.427108964	2.674E+01	
671	-1.429687825	2.690E+01	
672	-1.432582558	2.708E+01	
673	-1.435637294	2.727E+01	
674	-1.438824386	2.747E+01	
675	-1.441994542	2.767E+01	
676	-1.445185259	2.787E+01	
677	-1.44852406	2.809E+01	
678	-1.452184456	2.833E+01	
679	-1.455803816	2.856E+01	
680	-1.459270885	2.879E+01	
681	-1.462502227	2.901E+01	
682	-1.465544607	2.921E+01	
683	-1.468911756	2.944E+01	
684	-1.472345122	2.967E+01	
685	-1.475941714	2.992E+01	
686	-1.479209559	3.014E+01	
687	-1.48222733	3.035E+01	
688	-1.485339861	3.057E+01	
689	-1.488601742	3.080E+01	
690	-1.492169678	3.106E+01	
691	-1.495559831	3.130E+01	
692	-1.498723209	3.153E+01	
693	-1.501424426	3.173E+01	
694	-1.503934017	3.191E+01	
695	-1.506295321	3.208E+01	
696	-1.508590188	3.225E+01	
697	-1.510866753	3.242E+01	
698	-1.513067187	3.259E+01	
699	-1.515352366	3.276E+01	
700	-1.517535314	3.293E+01	
701	-1.519822061	3.310E+01	
702	-1.521942786	3.326E+01	
703	-1.523884749	3.341E+01	
704	-1.525591846	3.354E+01	
705	-1.527046675	3.365E+01	
706	-1.528567123	3.377E+01	
707	-1.530048089	3.389E+01	
708	-1.531694132	3.402E+01	
709	-1.533060854	3.412E+01	
710	-1.534056216	3.420E+01	
711	-1.534825742	3.426E+01	
712	-1.535640815	3.433E+01	
713	-1.536742686	3.441E+01	
714	-1.538023546	3.452E+01	
715	-1.539188987	3.461E+01	
716	-1.540115807	3.468E+01	
717	-1.540680789	3.473E+01	
718	-1.541280354	3.478E+01	
719	-1.541845173	3.482E+01	
720	-1.542495964	3.487E+01	
721	-1.543151441	3.493E+01	
722	-1.543543953	3.496E+01	
723	-1.543966613	3.499E+01	
724	-1.544245366	3.501E+01	
725	-1.544647302	3.505E+01	
726	-1.545060195	3.508E+01	
727	-1.545269421	3.510E+01	
728	-1.545557101	3.512E+01	
729	-1.545577442	3.512E+01	
730	-1.545757197	3.514E+01	
731	-1.546094673	3.516E+01	
732	-1.546317831	3.518E+01	
733	-1.546518669	3.520E+01	
734	-1.546462847	3.519E+01	
735	-1.54636819	3.519E+01	
736	-1.546257019	3.518E+01	
737	-1.5462181	3.517E+01	
738	-1.54619815	3.517E+01	
739	-1.546070131	3.516E+01	
740	-1.545752683	3.514E+01	
741	-1.54555331	3.512E+01	
742	-1.545454569	3.511E+01	
743	-1.545567542	3.512E+01	
744	-1.545624113	3.513E+01	
745	-1.545450269	3.511E+01	
746	-1.545011447	3.508E+01	
747	-1.544529963	3.504E+01	
748	-1.54430576	3.502E+01	
749	-1.544252249	3.501E+01	
750	-1.544280025	3.502E+01	
751	-1.544130413	3.501E+01	
752	-1.543902453	3.499E+01	
753	-1.543732284	3.497E+01	
754	-1.543662106	3.497E+01	
755	-1.543706421	3.497E+01	
756	-1.543581572	3.496E+01	
757	-1.543237546	3.493E+01	
758	-1.542654251	3.489E+01	
759	-1.542109618	3.484E+01	
760	-1.541654325	3.481E+01	
761	-1.541352962	3.478E+01	
762	-1.541091885	3.476E+01	
763	-1.540708855	3.473E+01	
764	-1.54034028	3.470E+01	
765	-1.540009854	3.467E+01	
766	-1.539774628	3.466E+01	
767	-1.539564789	3.464E+01	
768	-1.539127344	3.460E+01	
769	-1.538575779	3.456E+01	
770	-1.5379464	3.451E+01	
771	-1.537315724	3.446E+01	
772	-1.536912747	3.443E+01	
773	-1.536583284	3.440E+01	
774	-1.536334433	3.438E+01	
775	-1.535990307	3.436E+01	
776	-1.535580736	3.432E+01	
777	-1.535199721	3.429E+01	
778	-1.534799441	3.426E+01	
779	-1.534444232	3.423E+01	
780	-1.534230605	3.422E+01	
781	-1.533861952	3.419E+01	
782	-1.533349922	3.415E+01	
783	-1.532651246	3.409E+01	
784	-1.531840732	3.403E+01	
785	-1.530996834	3.396E+01	
786	-1.53023549	3.390E+01	
787	-1.529677862	3.386E+01	
788	-1.529241805	3.383E+01	
789	-1.52890073	3.380E+01	
790	-1.528661014	3.378E+01	
791	-1.528262983	3.375E+01	
792	-1.52773965	3.371E+01	
793	-1.527163019	3.366E+01	
794	-1.526590482	3.362E+01	
795	-1.52603329	3.358E+01	
796	-1.525453973	3.353E+01	
797	-1.524899318	3.349E+01	
798	-1.524340454	3.345E+01	
799	-1.523908328	3.341E+01	
800	-1.523352604	3.337E+01	
801	-1.522721825	3.332E+01	
802	-1.521999724	3.327E+01	
803	-1.521275691	3.321E+01	
804	-1.520712278	3.317E+01	
805	-1.520208252	3.313E+01	
806	-1.519795499	3.310E+01	
807	-1.51926703	3.306E+01	
808	-1.518586202	3.301E+01	
809	-1.51793646	3.296E+01	
810	-1.517420629	3.292E+01	
811	-1.517032763	3.289E+01	
812	-1.516632672	3.286E+01	
813	-1.516166181	3.282E+01	
814	-1.515628538	3.278E+01	
815	-1.515052493	3.274E+01	
816	-1.514425522	3.269E+01	
817	-1.513629997	3.263E+01	
818	-1.51285063	3.257E+01	
819	-1.511976035	3.251E+01	
820	-1.51131795	3.246E+01	
821	-1.510684578	3.241E+01	
822	-1.510089171	3.237E+01	
823	-1.509702623	3.234E+01	
824	-1.509478192	3.232E+01	
825	-1.509361869	3.231E+01	
826	-1.509053813	3.229E+01	
827	-1.508544424	3.225E+01	
828	-1.50785552	3.220E+01	
829	-1.507003238	3.214E+01	
830	-1.50618443	3.208E+01	
831	-1.505526486	3.203E+01	
832	-1.504977386	3.199E+01	
833	-1.504591892	3.196E+01	
834	-1.504153151	3.193E+01	
835	-1.503665067	3.189E+01	
836	-1.503114653	3.185E+01	
837	-1.502561688	3.181E+01	
838	-1.502133349	3.178E+01	
839	-1.501620816	3.174E+01	
840	-1.501079458	3.170E+01	
841	-1.500457059	3.166E+01	
842	-1.499660013	3.160E+01	
843	-1.498896327	3.154E+01	
844	-1.498046527	3.148E+01	
845	-1.49731406	3.143E+01	
846	-1.496523087	3.137E+01	
847	-1.495682455	3.131E+01	
848	-1.495006291	3.126E+01	
849	-1.49455942	3.123E+01	
850	-1.494359671	3.121E+01	
851	-1.494182023	3.120E+01	
852	-1.493811814	3.118E+01	
853	-1.493091223	3.112E+01	
854	-1.492101792	3.105E+01	
855	-1.491078876	3.098E+01	
856	-1.490262358	3.092E+01	
857	-1.489705071	3.088E+01	
858	-1.489223948	3.085E+01	
859	-1.48801603	3.076E+01	
860	-1.484884497	3.054E+01	
861	-1.479798309	3.019E+01	
862	-1.474099974	2.979E+01	
863	-1.470564327	2.955E+01	
864	-1.471005114	2.958E+01	
865	-1.475274074	2.987E+01	
866	-1.480148044	3.021E+01	
867	-1.482000001	3.034E+01	
868	-1.47968816	3.018E+01	
869	-1.474054945	2.979E+01	
870	-1.467932843	2.937E+01	
871	-1.463841741	2.910E+01	
872	-1.463215544	2.905E+01	
873	-1.465453038	2.920E+01	
874	-1.468754526	2.943E+01	
875	-1.471430944	2.961E+01	
876	-1.472182425	2.966E+01	
877	-1.47081096	2.957E+01	
878	-1.468327497	2.940E+01	
879	-1.466341249	2.926E+01	
