Wavelength	od	Transmission
727	7.32321	4.75E-06
726.5	7.48605	3.27E-06
726	6.8652	1.36E-05
725.5	7.01195	9.73E-06
725	6.93282	1.17E-05
724.5	6.07346	8.44E-05
724	6.66772	2.15E-05
723.5	6.4394	3.64E-05
723	6.21108	6.15E-05
722.5	6.1729	6.72E-05
722	6.15446	7.01E-05
721.5	6.35826	4.38E-05
721	6.11173	7.73E-05
720.5	6.8974	1.27E-05
720	7.0564	8.78E-06
719.5	6.59652	2.53E-05
719	5.92896	1.18E-04
718.5	5.89768	1.27E-04
718	5.89461	1.27E-04
717.5	5.80044	1.58E-04
717	5.81986	1.51E-04
716.5	5.68646	2.06E-04
716	5.81034	1.55E-04
715.5	5.72336	1.89E-04
715	5.84434	1.43E-04
714.5	5.99767	1.01E-04
714	5.75495	1.76E-04
713.5	5.69457	2.02E-04
713	5.73648	1.83E-04
712.5	5.70347	1.98E-04
712	5.76044	1.74E-04
711.5	5.99351	1.02E-04
711	6.02208	9.50E-05
710.5	6.51784	3.04E-05
710	6.02354	9.47E-05
709.5	5.85538	1.40E-04
709	6.14137	7.22E-05
708.5	6.51653	3.04E-05
708	7.31023	4.90E-06
707.5	6.56109	2.75E-05
707	7.23205	5.86E-06
706.5	6.22498	5.96E-05
706	6.25548	5.55E-05
705.5	6.13785	7.28E-05
705	6.05966	8.72E-05
704.5	6.21616	6.08E-05
704	6.06005	8.71E-05
703.5	6.12381	7.52E-05
703	6.26965	5.37E-05
702.5	6.66443	2.17E-05
702	6.13326	7.36E-05
701.5	6.64862	2.25E-05
701	7.16397	6.86E-06
700.5	6.68301	2.07E-05
700	6.20204	6.28E-05
699.5	6.01148	9.74E-05
699	5.98352	1.04E-04
698.5	6.27568	5.30E-05
698	6.26805	5.39E-05
697.5	6.26183	5.47E-05
697	6.47769	3.33E-05
696.5	6.05768	8.76E-05
696	6.4512	3.54E-05
695.5	6.64617	2.26E-05
695	6.64678	2.26E-05
694.5	6.64739	2.25E-05
694	6.68624	2.06E-05
693.5	6.29017	5.13E-05
693	6.83092	1.48E-05
692.5	6.33608	4.61E-05
692	6.1685	6.78E-05
691.5	5.967	1.08E-04
691	6.31856	4.80E-05
690.5	5.96865	1.07E-04
690	6.96576	1.08E-05
689.5	6.44989	3.55E-05
689	6.4063	3.92E-05
688.5	6.22269	5.99E-05
688	6.15073	7.07E-05
687.5	6.16064	6.91E-05
687	6.10703	7.82E-05
686.5	6.05341	8.84E-05
686	6.30813	4.92E-05
685.5	5.76762	1.71E-04
685	6.00807	9.82E-05
684.5	5.86687	1.36E-04
684	6.09875	7.97E-05
683.5	6.64528	2.26E-05
683	6.0584	8.74E-05
682.5	5.88167	1.31E-04
682	6.09938	7.95E-05
681.5	5.99243	1.02E-04
681	6.50113	3.15E-05
680.5	6.62666	2.36E-05
680	6.26584	5.42E-05
679.5	6.08887	8.15E-05
679	6.12603	7.48E-05
678.5	6.28121	5.23E-05
678	7.30759	4.93E-06
677.5	7.2054	6.23E-06
677	7.10322	7.88E-06
676.5	7.34742	4.49E-06
676	7.39092	4.07E-06
675.5	7.43443	3.68E-06
675	6.47444	3.35E-05
674.5	7.22297	5.98E-06
674	7.41437	3.85E-06
673.5	7.32721	4.71E-06
673	7.24005	5.75E-06
672.5	6.77433	1.68E-05
672	7.10317	7.89E-06
671.5	6.95234	1.12E-05
671	6.80151	1.58E-05
670.5	7.30786	4.92E-06
670	7.00678	9.85E-06
669.5	6.52788	2.97E-05
669	6.77524	1.68E-05
668.5	7.00532	9.88E-06
668	6.92648	1.18E-05
667.5	7.35106	4.46E-06
667	7.42347	3.77E-06
