Wavelength	od	Transmission	
2288	-1.850991468	70.95638275	
2287	-1.851833986	71.09416962	
2286	-1.852897905	71.26854706	
2285	-1.854093839	71.46507263	
2284	-1.855978335	71.77584839	
2283	-1.857337282	72.00079346	
2282	-1.858108658	72.12879181	
2281	-1.858754653	72.23616028	
2280	-1.860582764	72.54087067	
2279	-1.861316346	72.66350555	
2278	-1.862024564	72.78209686	
2277	-1.862633352	72.88419342	
2276	-1.863971258	73.10906982	
2275	-1.864708645	73.23330688	
2274	-1.865315674	73.33573914	
2273	-1.867102302	73.63805389	
2272	-1.867999491	73.79033661	
2271	-1.870113711	74.1504364	
2270	-1.871309975	74.35496521	
2269	-1.873140061	74.66895294	
2268	-1.874822102	74.95870972	
2267	-1.877022076	75.33938599	
2266	-1.878859964	75.65888977	
2265	-1.881025337	76.0370636	
2264	-1.882261835	76.25386047	
2263	-1.884422937	76.63425446	
2262	-1.885729525	76.86515808	
2261	-1.887995113	77.26718903	
2260	-1.889807141	77.59024811	
2259	-1.890739731	77.75704193	
2258	-1.892335013	78.04319	
2257	-1.89403544	78.3493576	
2256	-1.895592011	78.63067627	
2255	-1.897350271	78.94966125	
2254	-1.898314435	79.1251297	
2253	-1.900231904	79.47525024	
2252	-1.902079218	79.81402588	
2251	-1.902553381	79.9012146	
2250	-1.904034274	80.1741333	
2249	-1.905067845	80.36516571	
2248	-1.906478769	80.62667847	
2247	-1.907324966	80.78392792	
2246	-1.908499499	81.00270081	
2245	-1.908917959	81.08078766	
2244	-1.910148023	81.3107605	
2243	-1.910863124	81.44475555	
2242	-1.91202453	81.66284943	
2241	-1.912436689	81.74038696	
2240	-1.912535261	81.75894165	
2239	-1.91340405	81.92266083	
2238	-1.91419073	82.07118988	
2237	-1.914643996	82.15689087	
2236	-1.915101422	82.24346924	
2235	-1.915409634	82.30185699	
2234	-1.915674741	82.35211182	
2233	-1.915778171	82.37172699	
2232	-1.916381891	82.48631287	
2231	-1.916952881	82.59483337	
2230	-1.917131483	82.62880707	
2229	-1.916984492	82.60084534	
2228	-1.918453886	82.88079071	
2227	-1.919270427	83.03676605	
2226	-1.919179958	83.01947021	
2225	-1.919713043	83.12143707	
2224	-1.920357535	83.24488068	
2223	-1.920856896	83.34065247	
2222	-1.92075773	83.32162476	
2221	-1.920461488	83.26480865	
2220	-1.921537843	83.47142792	
2219	-1.921748057	83.51184082	
2218	-1.921772417	83.51652527	
2217	-1.922127113	83.58476257	
2216	-1.921895586	83.54021454	
2215	-1.921472341	83.45883942	
2214	-1.921654451	83.49384308	
2213	-1.921653181	83.49359894	
2212	-1.921328917	83.43128204	
2211	-1.921951269	83.55092621	
2210	-1.922004604	83.56118774	
2209	-1.921853859	83.53218842	
2208	-1.92286148	83.72621918	
2207	-1.922333635	83.62451935	
2206	-1.923137542	83.77945709	
2205	-1.922769183	83.70842743	
2204	-1.923467493	83.84313202	
2203	-1.92344797	83.8393631	
2202	-1.924029841	83.95176697	
2201	-1.924065558	83.95867157	
2200	-1.924822345	84.10510254	
2199	-1.924923462	84.12468719	
2198	-1.924984783	84.13656616	
2197	-1.925241119	84.18624115	
2196	-1.925774525	84.28970337	
2195	-1.926018924	84.33715057	
2194	-1.925776216	84.29003143	
2193	-1.926028667	84.33904266	
2192	-1.92600867	84.3351593	
2191	-1.926633379	84.45655823	
2190	-1.925905328	84.31509399	
2189	-1.926514294	84.43340302	
2188	-1.92670862	84.47119141	
2187	-1.927141255	84.55538177	
2186	-1.927434151	84.61242676	
2185	-1.927477616	84.62089539	
2184	-1.927923334	84.70778656	
2183	-1.928464787	84.8134613	
2182	-1.92890161	84.89881134	
2181	-1.928583964	84.83673859	
2180	-1.928532915	84.82676697	
2179	-1.929013995	84.920784	
2178	-1.928513892	84.82305145	
2177	-1.929658166	85.04683685	
2176	-1.928581816	84.83631897	
2175	-1.928602906	84.84043884	
2174	-1.928532876	84.82675934	
2173	-1.928488579	84.8181076	
2172	-1.927240855	84.5747757	
2171	-1.926781337	84.4853363	
2170	-1.925691102	84.27351379	
2169	-1.924792875	84.09939575	
2168	-1.923837827	83.91465759	
2167	-1.923320418	83.81474304	
2166	-1.921985095	83.55743408	
2165	-1.921454158	83.45534515	
2164	-1.920532275	83.27838135	
2163	-1.920673497	83.3054657	
2162	-1.920909333	83.35071564	
2161	-1.921295	83.42476654	
2160	-1.92183593	83.52873993	
2159	-1.921967488	83.55404663	
2158	-1.923092888	83.77084351	
2157	-1.9236048	83.86964417	
2156	-1.924646879	84.07112885	
2155	-1.925799801	84.29460907	
2154	-1.926827848	84.49438477	
2153	-1.926866865	84.50197601	
2152	-1.927278816	84.58216858	
2151	-1.927259072	84.57832336	
2150	-1.928342764	84.7896347	
2149	-1.927893839	84.702034	
2148	-1.928316464	84.78450012	
2147	-1.928137596	84.74958801	
2146	-1.927683762	84.66107178	
2145	-1.926957942	84.5196991	
2144	-1.926676807	84.46500397	
2143	-1.927018153	84.53141785	
2142	-1.925587882	84.25348663	
2141	-1.92495308	84.1304245	
2140	-1.924412117	84.0256958	
2139	-1.923731164	83.8940506	
2138	-1.923696802	83.88741302	
2137	-1.92288376	83.73051453	
2136	-1.922955419	83.74433136	
2135	-1.922788974	83.71224213	
2134	-1.923217621	83.79490662	
2133	-1.923260522	83.80318451	
2132	-1.923800748	83.90749359	
2131	-1.924491568	84.04106903	
2130	-1.924669619	84.07553101	
2129	-1.925206916	84.17961121	
2128	-1.925743745	84.28372955	
2127	-1.925758094	84.28651428	
2126	-1.926773768	84.48386383	
2125	-1.927472957	84.61998749	
2124	-1.926988441	84.52563477	
2123	-1.926657702	84.46128845	
2122	-1.926921482	84.51260376	
2121	-1.927335536	84.59321594	
2120	-1.927138943	84.55493164	
2119	-1.926229847	84.37812042	
2118	-1.926833534	84.49549103	
2117	-1.926457388	84.42234039	
2116	-1.926243826	84.38083649	
2115	-1.926533914	84.43721771	
2114	-1.926157312	84.36402893	
2113	-1.926377786	84.40686798	
2112	-1.925898373	84.31374359	
2111	-1.925462924	84.22924805	
2110	-1.92549695	84.23584747	
2109	-1.925276855	84.19316864	
2108	-1.925746261	84.28421783	
2107	-1.925182787	84.17493439	
2106	-1.924668279	84.07527161	
2105	-1.924777391	84.0963974	
2104	-1.924961233	84.13200378	
2103	-1.924588427	84.05981445	
2102	-1.92416192	83.97730255	
2101	-1.924758164	84.09267426	
2100	-1.923710665	83.89009094	
2099	-1.923645964	83.87759399	
2098	-1.924093696	83.96411133	
2097	-1.922839674	83.72201538	
2096	-1.923143434	83.78059387	
2095	-1.923182981	83.78822327	
2094	-1.922892347	83.7321701	
2093	-1.922073118	83.57437134	
2092	-1.922155416	83.59020996	
2091	-1.922015112	83.56320953	
2090	-1.921972604	83.55503082	
2089	-1.922110265	83.58152008	
2088	-1.921508309	83.46575165	
2087	-1.921724766	83.50736237	
2086	-1.921345359	83.43444061	
2085	-1.921141426	83.3952713	
2084	-1.920692031	83.309021	
2083	-1.920827793	83.33506775	
2082	-1.92046495	83.26547241	
2081	-1.920529649	83.27787781	
2080	-1.9204359	83.25990295	
2079	-1.920126138	83.20053864	
2078	-1.920530923	83.27812195	
2077	-1.91996952	83.17053986	
2076	-1.919837077	83.14517975	
2075	-1.919892904	83.15586853	
2074	-1.920098618	83.19526672	
2073	-1.920107022	83.19687653	
2072	-1.920115226	83.19844818	
2071	-1.919541083	83.08853149	
2070	-1.919897167	83.15668488	
2069	-1.919084919	83.00130463	
2068	-1.918911552	82.9681778	
2067	-1.919396063	83.06079102	
2066	-1.918909835	82.96784973	
2065	-1.919423348	83.06600952	
2064	-1.919124318	83.00883484	
2063	-1.919207296	83.02469635	
2062	-1.918594825	82.90769196	
2061	-1.918724013	82.93235779	
2060	-1.918400472	82.87059784	
2059	-1.918549862	82.89910889	
2058	-1.918641781	82.91665649	
2057	-1.918531996	82.89569855	
2056	-1.918183311	82.82917023	
2055	-1.917938584	82.78250885	
2054	-1.918133624	82.81969452	
2053	-1.9177857	82.75337219	
2052	-1.917671453	82.73160553	
2051	-1.917864371	82.76836395	
2050	-1.917468391	82.69293213	
2049	-1.917022237	82.6080246	
2048	-1.917436215	82.68680573	
2047	-1.917401632	82.68022156	
2046	-1.917100966	82.6230011	
2045	-1.916545991	82.51748657	
2044	-1.916355821	82.48136139	
2043	-1.916722071	82.5509491	
2042	-1.916827901	82.57106781	
2041	-1.917011046	82.605896	
2040	-1.916659211	82.53900146	
2039	-1.915919781	82.39859009	
2038	-1.915899513	82.39474487	
2037	-1.916122763	82.4371109	
2036	-1.915829455	82.38145447	
2035	-1.915618811	82.34150696	
2034	-1.915677798	82.35269165	
2033	-1.915552692	82.32897186	
2032	-1.914988682	82.22212219	
2031	-1.915098521	82.24291992	
2030	-1.914928875	82.21080017	
2029	-1.9147638	82.1795578	
2028	-1.91531884	82.28465271	
2027	-1.914831128	82.19229889	
2026	-1.914413447	82.11328888	
2025	-1.915034458	82.23078918	
2024	-1.914438465	82.1180191	
